round,time(seconds),mpitime,comm0time,comm1time,comm2time,comm3time,comm4time
1,0.329747852, 0.07513582899999996, 0.046387702, 0, 0, 0, 0.028748126999999957
2,411.215768803, 244.98194299300008, 0, 98.16074309700002, 0, 146.68031710300005, 0.14088279300000295
3,174.50247616999997, 48.90277365700001, 0, 16.620431137999958, 0, 32.27684504199999, 0.005497477000062645
