,t_dist,t_dist_seq,t_dist_mpi,num_proc,num_vertex_per_proc
0,536.941908644,280.655030028,256.286878616,8,4096
1,314.8558983,164.884334094,149.971564206,16,2048
2,158.877751396,83.205986317,75.671765079,32,1024
3,81.431812069,41.073662408,40.358149661,64,512
4,44.915492989,21.771158737,23.144334252,128,256
5,20.688627797000002,10.897489293999998,9.791138503000004,256,128
6,11.814539175,5.926412252,5.888126923,512,649.677963064, 5.185599939000001, 4.492363124999999, 128, 256
