round,time (seconds),mpi time,comm0 time,comm1 time,comm2 time,comm3 time,comm4 time
1,0.333584981,0.070200378,0.042740474999999986,0,0,0,0.027459903000000008
2,381.350938548,221.13499481899996,0,96.77086738099999,123.42789698299998,0.8056299979999721,0.1306004570000141
3,155.25738511500003,35.08168341899983,0,9.223261756999989,25.79084576799994,0.062348891999931766,0.005227001999969616
