,t_seq,t_dist,t_dist_seq,t_dist_mpi,k_dist
0,0.000137596,0.0014210709999999994,0.000354133999999999,0.0010669370000000004,2
1,0.0004775599999999984,0.0013912899999999999,0.0006297900000000016,0.0007614999999999983,2
2,0.0017709729999999986,0.0025816399999999996,0.0012748630000000045,0.001306776999999995,2
3,0.006780534999999997,0.009239231,0.005708432999999999,0.0035307980000000017,3
4,0.02666716699999999,0.030771119999999985,0.01987532100000003,0.010895798999999956,3
5,0.110262097,0.12031233200000002,0.07718964100000014,0.04312269099999988,3
6,0.4478510629999999,0.47321589399999997,0.29300728299999923,0.18020861100000074,3
7,1.8104505360000003,2.1155465310000015,1.2268331439999987,0.8887133870000028,3
8,7.174344444000003,8.767688405000001,5.030096757999999,3.737591647000002,3
9,28.817870856000013,35.686726729000014,20.119141773999957,15.567584955000058,3
10,116.56336461600006,151.98346137499993,81.60703925999985,70.37642211500008,3
