,t_dist,t_dist_seq,t_dist_mpi,k_dist
0,0.00134747,0.0003133089999999999,0.001034161,2
1,0.0012065119999999999,0.0004625600000000001,0.0007439519999999998,2
2,0.002157979,0.0011191969999999993,0.0010387820000000007,2
3,0.007638524000000001,0.004725896999999996,0.0029126270000000044,3
4,0.025752111,0.015736369000000014,0.010015741999999987,3
5,0.101307824,0.06679430599999998,0.03451351800000002,3
6,0.40850015900000003,0.251157996,0.15734216300000003,3
7,1.7680045759999998,1.0250331929999998,0.742971383,3
8,7.284779788000001,4.179971765000002,3.1048080229999986,3
9,31.392376207999998,17.025243883000016,14.367132324999982,3
10,132.276089103,70.22464621400002,62.051442888999986,3
11,591.0537199749999,292.2795861459997,298.7741338290002,3
