,t_dist,t_dist_seq,t_dist_mpi,k_dist,num_vertices
0,0.26989505,0.09893078300000005,0.17096426699999998,2,32
1,0.0022544419999999676,0.0009226159999999872,0.0013318259999999804,2,64
2,0.005948371000000008,0.003168461999999983,0.002779909000000025,3,128
3,0.017229043,0.010244122999999994,0.006984920000000006,3,256
4,0.06086375900000002,0.03882215900000002,0.022041599999999995,3,512
5,0.24070968399999992,0.1479139119999996,0.09279577200000033,3,1024
6,1.011098521,0.5815300579999996,0.4295684630000005,3,2048
7,4.115099632,2.3403710749999997,1.774728557,3,4096
8,18.180744392,9.799753135999987,8.380991256000014,3,8192
9,77.036451349,40.88628826900003,36.15016307999997,3,16384
10,323.77487289,168.86921455200005,154.90565833799994,3,32768
