,t_dist,t_dist_seq,t_dist_mpi,k_dist,num_vertices
0,0.00428566,0.0008330669999999998,0.0034525930000000003,2,64
1,0.004258076999999999,0.0016629529999999983,0.0025951240000000007,2,128
2,0.013028701,0.006406110000000005,0.006622590999999995,3,256
3,0.04216191700000001,0.021714652000000008,0.020447265,3,512
4,0.142237765,0.07948934600000002,0.06274841899999997,3,1024
5,0.5796780099999999,0.3102340659999997,0.26944394400000016,3,2048
6,2.3850809299999995,1.207233061,1.1778478689999996,3,4096
7,10.018351718999998,4.9090472320000025,5.109304486999996,3,8192
8,49.057990821999994,20.412544774999965,28.64544604700003,3,16384
9,205.777287467,85.09614820100009,120.68113926599992,3,32768
10,940.675448051,366.5424647380005,574.1329833129995,3,65536
