,t_seq,t_dist,t_dist_seq,t_dist_mpi,k_dist
0,3.8191999999992454e-05,0.534995375,0.53358785,0.001407525000000076,2
1,0.00010660200000001119,0.0007364029999999966,0.00022556799999984278,0.0005108350000001538,2
2,0.00037247600000001047,0.0016771210000000591,0.0005548810000002291,0.00112223999999983,2
3,0.001384289000000094,0.004001625000000009,0.0015576160000000394,0.0024440089999999692,2
4,0.005284104000000012,0.013534115999999985,0.004708926999999696,0.008825189000000289,2
5,0.020732242000000012,0.04111607199999989,0.017132372000000617,0.023983699999999275,2
6,0.0863269160000002,0.16598824999999995,0.06983849000000009,0.09614975999999986,2
7,0.350420406,0.7366296989999999,0.28859841200000136,0.4480312869999985,2
8,1.4007512449999986,3.0165645429999994,1.1300083999999986,1.8865561430000009,2
9,6.017092775999998,13.037459188,4.760677083999951,8.276782104000048,2
10,23.570076296999986,55.19959091699998,19.935859660000006,35.263731256999975,2
